inds,grades
812,1
813,2
814,5
815,5
816,1
817,5
818,5
819,1
820,4
821,1
822,1
823,1
824,1
825,5
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,5
838,5
839,1
840,1
841,2
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,5
852,1
853,1
854,1
855,5
856,2
857,5
858,1
859,5
860,5
861,1
862,1
863,5
864,5
865,5
866,1
867,1
868,1
869,1
870,1
871,5
872,5
873,1
874,1
875,1
876,1
877,1
878,3
879,1
880,5
881,5
882,1
883,1
884,5
885,1
886,2
887,1
888,1
889,1
890,5
891,5
892,1
893,5
894,1
895,5
896,1
897,1
898,1
899,5
900,1
901,1
902,1
903,1
904,5
905,1
906,1
907,5
908,1
909,5
910,5
911,1
912,1
913,1
914,5
915,5
916,1
917,1
918,1
919,1
920,1
921,1
922,5
923,5
924,1
925,1
926,5
927,1
928,3
929,1
930,1
931,5
932,5
933,5
934,5
935,1
936,5
937,1
938,1
939,1
940,4
941,1
942,1
943,1
944,1
945,5
946,5
947,5
948,5
949,1
950,5
951,1
952,1
953,1
954,1
955,1
956,5
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,3
967,1
968,1
969,5
970,1
971,1
972,5
973,1
974,1
975,1
976,1
977,1
978,1
979,2
980,1
981,1
982,5
983,1
984,5
985,5
986,1
987,1
988,1
989,5
990,1
991,2
992,5
993,1
994,1
995,1
996,5
997,5
998,1
999,5
1000,5
1001,1
1002,1
1003,1
1004,5
1005,5
1006,1
1007,5
1008,1
1009,1
1010,1
1011,1
1012,3
1013,1
1014,5
1015,1
1016,1
1017,5
1018,1
1019,1
1020,5
1021,5
1022,1
1023,1
1024,5
1025,5
1026,1
1027,1
1028,1
1029,5
1030,5
1031,1
1032,1
1033,5
1034,5
1035,1
1036,1
1037,5
1038,5
1039,4
1040,1
1041,5
1042,5
1043,1
1044,1
1045,1
1046,5
1047,1
1048,5
1049,1
1050,1
1051,1
1052,1
1053,5
1054,1
1055,5
1056,1
1057,1
1058,1
1059,5
1060,1
1061,1
1062,1
1063,4
1064,5
1065,4
1066,1
1067,1
1068,1
1069,1
1070,5
1071,1
1072,5
1073,1
1074,1
1075,5
1076,1
1077,1
1078,1
1079,1
1080,1
1081,5
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,3
1090,5
1091,1
1092,5
1093,5
1094,1
1095,1
1096,1
1097,5
1098,5
1099,1
1100,1
1101,1
1102,1
1103,5
1104,1
1105,5
1106,1
1107,1
1108,1
1109,1
1110,5
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,5
1123,1
1124,1
1125,1
1126,1
1127,5
1128,1
1129,1
1130,1
1131,5
1132,5
1133,1
1134,1
1135,5
1136,5
1137,1
1138,1
1139,1
1140,1
1141,1
1142,5
1143,1
1144,1
1145,5
1146,3
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,3
1155,1
1156,1
1157,5
1158,5
1159,1
1160,1
1161,1
1162,1
1163,5
1164,3
1165,5
1166,1
1167,2
1168,3
1169,1
1170,1
1171,1
1172,1
1173,1
1174,5
1175,1
1176,1
1177,1
1178,1
1179,1
1180,5
1181,1
1182,5
1183,1
1184,5
1185,5
1186,5
1187,1
1188,5
1189,5
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,2
1197,2
1198,5
1199,1
1200,5
1201,5
1202,1
1203,1
1204,5
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,5
1214,4
1215,5
1216,1
1217,1
1218,1
1219,5
1220,1
1221,1
1222,1
1223,1
1224,5
1225,5
1226,1
1227,1
1228,1
1229,5
1230,5
1231,1
1232,1
1233,1
1234,1
1235,5
1236,1
1237,1
1238,5
1239,1
1240,1
1241,5
1242,5
1243,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,5
1250,1
1251,5
1252,1
1253,1
1254,1
1255,1
1256,5
1257,1
1258,1
1259,5
1260,1
1261,5
1262,5
1263,5
1264,1
1265,1
1266,1
1267,3
1268,1
1269,5
1270,1
1271,5
1272,1
1273,1
1274,5
1275,5
1276,1
1277,1
1278,1
1279,3
1280,1
1281,5
1282,1
1283,1
1284,5
1285,1
1286,5
1287,1
1288,5
1289,5
1290,1
1291,1
1292,3
1293,1
1294,5
1295,5
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,1
1306,5
1307,1
1308,1
1309,1
1310,1
1311,1
1312,5
1313,1
1314,1
1315,1
1316,1
1317,1
1318,5
1319,1
1320,2
1321,1
1322,1
1323,5
1324,5
1325,1
1326,1
1327,1
1328,1
1329,5
1330,5
1331,1
1332,5
1333,1
1334,1
1335,1
1336,1
1337,4
1338,1
1339,1
1340,1
1341,5
1342,1
1343,5
1344,1
1345,1
1346,4
1347,1
1348,5
1349,5
1350,1
1351,1
1352,1
1353,1
1354,5
1355,5
1356,1
1357,5
1358,1
1359,1
1360,1
1361,5
1362,5
1363,1
1364,1
1365,2
1366,1
1367,1
1368,5
1369,1
1370,1
1371,1
1372,5
1373,1
1374,1
1375,1
1376,1
1377,1
1378,5
1379,5
1380,5
1381,1
1382,5
1383,1
1384,1
1385,5
1386,1
1387,5
1388,1
1389,1
1390,1
1391,5
1392,5
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,1
1400,5
1401,1
1402,1
1403,1
1404,1
1405,1
1406,1
1407,1
1408,5
1409,1
1410,5
1411,1
1412,1
1413,1
1414,5
1415,5
1416,1
1417,1
1418,4
1419,5
1420,5
1421,1
1422,1
1423,1
1424,1
1425,5
1426,5
1427,1
1428,1
1429,1
1430,1
1431,5
1432,1
1433,5
1434,5
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,5
1445,5
1446,1
1447,1
1448,5
1449,1
1450,5
1451,1
1452,1
1453,1
1454,1
1455,5
1456,5
1457,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,5
1464,1
1465,1
1466,3
1467,5
1468,1
1469,3
1470,1
1471,1
1472,1
1473,1
1474,1
1475,1
1476,1
1477,5
1478,5
1479,1
1480,3
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,5
1488,1
1489,1
1490,5
1491,1
1492,1
1493,3
1494,5
1495,1
1496,5
1497,1
1498,1
1499,1
1500,5
1501,1
1502,5
1503,5
1504,1
1505,1
1506,2
1507,1
1508,1
1509,1
1510,1
1511,1
1512,1
1513,5
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,5
1527,1
1528,5
1529,1
1530,1
1531,2
1532,1
1533,1
1534,1
1535,1
1536,5
1537,5
1538,1
1539,5
1540,1
1541,1
1542,1
1543,1
1544,1
1545,3
1546,1
1547,1
1548,3
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,5
1556,1
1557,1
1558,5
1559,1
1560,5
1561,5
1562,1
1563,1
1564,1
1565,1
1566,3
1567,5
1568,5
1569,1
1570,5
1571,4
1572,5
1573,1
1574,5
1575,1
1576,1
1577,1
1578,1
1579,5
1580,1
1581,1
1582,1
1583,5
1584,5
1585,5
1586,5
1587,3
1588,1
1589,1
1590,1
1591,1
1592,5
1593,1
1594,5
1595,1
1596,5
1597,1
1598,1
1599,1
1600,1
1601,5
1602,3
1603,1
1604,5
1605,1
1606,1
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,5
1616,5
1617,1
1618,1
1619,1
1620,1
1621,5
1622,5
1623,5
1624,5
1625,5
1626,1
1627,1
1628,1
1629,1
1630,5
1631,5
1632,1
1633,1
1634,5
1635,3
1636,5
1637,1
1638,1
1639,5
1640,1
1641,5
1642,5
1643,1
1644,1
1645,1
1646,1
1647,1
1648,5
1649,1
1650,1
1651,1
1652,5
1653,1
1654,3
1655,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,1
1665,3
1666,1
1667,1
1668,5
1669,1
1670,5
1671,1
1672,5
1673,5
1674,1
1675,5
1676,1
1677,1
1678,1
1679,1
1680,1
1681,5
1682,2
1683,1
1684,1
1685,3
1686,1
1687,3
1688,5
1689,1
1690,1
1691,1
1692,1
1693,1
1694,5
1695,1
1696,1
1697,1
1698,1
1699,5
1700,1
1701,1
1702,1
1703,5
1704,1
1705,5
1706,1
1707,5
1708,1
1709,1
1710,1
1711,5
1712,1
1713,1
1714,1
1715,5
1716,1
1717,1
1718,5
1719,1
1720,3
1721,1
1722,5
1723,5
1724,1
1725,3
1726,1
1727,1
1728,1
1729,1
1730,4
1731,3
1732,1
1733,1
1734,1
1735,2
1736,5
1737,5
1738,1
1739,1
1740,1
1741,1
1742,2
1743,5
1744,1
1745,1
1746,5
1747,3
1748,1
1749,5
1750,1
1751,5
1752,1
1753,5
1754,2
1755,1
1756,5
1757,1
1758,1
1759,2
1760,1
1761,5
1762,5
1763,1
1764,1
1765,1
1766,5
1767,2
1768,5
1769,1
1770,1
1771,1
1772,5
1773,1
1774,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,5
1782,1
1783,1
1784,5
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,2
1793,1
1794,1
1795,1
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,5
1808,1
1809,5
1810,5
1811,1
1812,1
1813,1
1814,1
1815,5
1816,1
1817,1
1818,1
1819,1
1820,4
1821,1
1822,5
1823,1
1824,1
1825,1
1826,5
1827,1
1828,1
1829,1
1830,5
1831,1
1832,1
1833,5
1834,5
1835,1
1836,1
1837,5
1838,5
1839,1
1840,1
1841,1
1842,1
1843,5
1844,1
1845,5
1846,1
1847,5
1848,1
1849,1
1850,1
1851,1
1852,5
1853,1
1854,1
1855,1
1856,1
1857,5
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,1
1867,5
1868,5
1869,3
1870,1
1871,1
1872,2
1873,1
1874,5
1875,1
1876,5
1877,1
1878,1
1879,1
1880,1
1881,5
1882,1
1883,1
1884,3
1885,2
1886,1
1887,1
1888,1
1889,1
1890,5
1891,1
1892,5
1893,1
1894,5
1895,1
1896,5
1897,1
1898,1
1899,1
1900,5
1901,1
1902,1
1903,5
1904,4
1905,1
1906,1
1907,1
1908,1
1909,5
1910,1
1911,5
1912,5
1913,1
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,1
1921,5
1922,1
1923,5
1924,5
1925,1
1926,1
1927,5
1928,2
1929,1
1930,2
1931,2
1932,1
1933,1
1934,1
1935,1
1936,1
1937,1
1938,5
1939,1
1940,1
1941,5
1942,5
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,1
1951,1
1952,5
1953,1
1954,1
1955,1
1956,5
1957,5
1958,1
1959,5
1960,1
1961,5
1962,1
1963,1
1964,1
1965,5
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,5
1974,1
1975,3
1976,1
1977,1
1978,5
1979,5
1980,1
1981,1
1982,1
1983,1
1984,1
1985,5
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,5
1994,5
1995,5
1996,1
1997,3
1998,5
1999,3
2000,1
2001,5
2002,5
2003,1
2004,5
2005,1
2006,1
2007,1
2008,4
2009,1
2010,5
2011,5
2012,3
2013,1
2014,5
2015,1
2016,1
2017,5
2018,5
2019,1
2020,1
2021,5
2022,1
2023,5
2024,1
2025,1
2026,3
2027,2
2028,1
2029,1
2030,1
2031,2
2032,1
2033,1
2034,5
2035,5
2036,4
2037,1
2038,5
2039,1
2040,1
2041,1
2042,5
2043,5
2044,1
2045,1
2046,1
2047,1
2048,5
2049,5
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,5
2058,5
2059,2
2060,1
2061,1
2062,1
2063,5
2064,1
2065,1
2066,5
2067,1
2068,5
2069,1
2070,1
2071,1
2072,1
2073,1
2074,1
2075,1
2076,1
2077,1
2078,1
2079,1
2080,4
2081,5
2082,5
2083,1
2084,1
2085,5
2086,1
2087,5
2088,1
2089,1
2090,5
2091,1
2092,1
2093,1
2094,5
2095,1
2096,1
2097,1
2098,5
2099,1
2100,1
2101,2
2102,1
2103,5
2104,5
2105,1
2106,5
2107,1
2108,1
2109,1
2110,5
2111,5
2112,5
2113,5
2114,5
2115,1
2116,5
2117,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,1
2124,5
2125,5
2126,2
2127,1
2128,5
2129,5
2130,1
2131,5
2132,5
2133,5
2134,5
2135,5
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,5
2144,1
2145,1
2146,1
2147,5
2148,1
2149,1
2150,1
2151,1
2152,1
2153,1
2154,3
2155,1
2156,3
2157,1
2158,3
2159,1
2160,1
2161,1
2162,1
2163,5
2164,1
2165,5
2166,1
2167,1
2168,1
2169,1
2170,1
2171,5
2172,5
2173,2
2174,1
2175,1
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,5
2183,1
2184,5
2185,1
2186,1
2187,1
2188,1
2189,5
2190,1
2191,1
2192,1
2193,1
2194,1
2195,5
2196,5
2197,1
2198,1
2199,1
2200,1
2201,5
2202,5
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,5
2212,1
2213,5
2214,5
2215,1
2216,1
2217,1
2218,1
2219,1
2220,5
2221,5
2222,5
2223,1
2224,1
2225,1
2226,1
2227,1
2228,5
2229,1
2230,1
2231,1
2232,5
2233,5
2234,3
2235,1
2236,5
2237,3
2238,3
2239,1
2240,4
2241,5
2242,1
2243,1
2244,5
2245,1
2246,1
2247,5
2248,1
2249,1
2250,5
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,5
2258,1
2259,5
2260,5
2261,1
2262,1
2263,1
2264,5
2265,1
2266,5
2267,1
2268,1
2269,1
2270,1
2271,3
2272,1
2273,5
2274,1
2275,1
2276,1
2277,2
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,5
2286,1
2287,2
2288,4
2289,1
2290,1
2291,5
2292,3
2293,1
2294,1
2295,5
2296,5
2297,5
2298,1
2299,3
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,1
2313,5
2314,1
2315,1
2316,1
2317,1
2318,1
2319,1
2320,1
2321,1
2322,5
2323,1
2324,5
2325,1
2326,1
2327,5
2328,1
2329,5
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,5
2337,5
2338,1
2339,1
2340,1
2341,1
2342,3
2343,1
2344,5
2345,1
2346,1
2347,3
2348,5
2349,1
2350,1
2351,5
2352,1
2353,5
2354,1
2355,1
2356,5
2357,5
2358,1
2359,1
2360,4
2361,1
2362,1
2363,1
2364,1
2365,1
2366,1
2367,5
2368,1
2369,5
2370,5
2371,5
2372,1
2373,5
2374,1
2375,5
2376,1
2377,1
2378,1
2379,1
2380,5
2381,5
2382,1
2383,5
2384,1
2385,5
2386,1
2387,5
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,5
2395,1
2396,1
2397,1
2398,5
2399,1
2400,5
2401,1
2402,5
2403,1
2404,1
2405,5
2406,1
2407,1
2408,5
2409,1
2410,5
2411,1
2412,5
2413,1
2414,5
2415,5
2416,2
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,5
2424,3
2425,1
2426,5
2427,1
2428,1
2429,2
2430,1
2431,1
2432,1
2433,5
2434,1
2435,5
2436,1
2437,1
2438,5
2439,5
2440,1
2441,1
2442,5
2443,1
2444,1
2445,1
2446,1
2447,3
2448,1
2449,1
2450,1
2451,1
2452,1
2453,5
2454,1
2455,1
2456,1
2457,1
2458,1
2459,1
2460,3
2461,1
2462,1
2463,2
2464,5
2465,1
2466,1
2467,1
2468,1
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,5
2476,1
2477,5
2478,1
2479,5
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,5
2489,5
2490,1
2491,5
2492,1
2493,5
2494,1
2495,1
2496,4
2497,1
2498,5
2499,5
2500,1
2501,5
2502,1
2503,1
2504,5
2505,1
2506,5
2507,1
2508,2
2509,1
2510,1
2511,1
2512,1
2513,5
2514,1
2515,1
2516,1
2517,1
2518,1
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,5
2529,1
2530,5
2531,1
2532,5
2533,1
2534,1
2535,1
2536,1
2537,1
2538,2
2539,1
2540,1
2541,1
2542,5
2543,1
2544,5
2545,1
2546,1
2547,1
2548,1
2549,1
2550,1
2551,1
2552,1
2553,5
2554,1
2555,5
2556,1
2557,3
2558,1
2559,5
2560,1
2561,1
2562,5
2563,5
2564,1
2565,1
2566,1
2567,5
2568,1
2569,1
2570,1
2571,1
2572,5
2573,1
2574,1
2575,5
2576,5
2577,1
2578,1
2579,1
2580,1
2581,5
2582,1
2583,1
2584,1
2585,1
2586,1
2587,1
2588,1
2589,1
2590,1
2591,1
2592,1
2593,1
2594,5
2595,3
2596,1
2597,1
2598,1
2599,5
2600,5
2601,1
2602,5
2603,1
2604,1
2605,1
2606,5
2607,1
2608,1
2609,1
2610,1
2611,1
2612,2
2613,5
2614,1
2615,5
2616,5
2617,1
2618,1
2619,1
2620,1
2621,1
2622,5
2623,1
2624,5
2625,1
2626,5
2627,5
2628,1
2629,1
2630,5
2631,5
2632,1
2633,1
2634,5
2635,1
2636,1
2637,1
2638,1
2639,5
2640,5
2641,1
2642,1
2643,5
2644,1
2645,5
2646,1
2647,1
2648,1
2649,5
2650,1
2651,1
2652,1
2653,1
2654,1
2655,1
2656,1
2657,1
2658,1
2659,5
2660,5
2661,1
2662,1
2663,1
2664,5
2665,5
2666,5
2667,1
2668,3
2669,5
2670,5
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,1
2678,5
2679,1
2680,1
2681,5
2682,1
2683,1
2684,5
2685,5
2686,5
2687,5
2688,5
2689,1
2690,1
2691,1
2692,1
2693,1
2694,5
2695,5
2696,1
2697,3
2698,1
2699,1
2700,5
2701,5
2702,5
2703,2
2704,1
2705,1
2706,3
2707,1
2708,5
2709,1
2710,1
2711,5
2712,1
2713,5
2714,5
2715,1
2716,1
2717,2
2718,1
2719,1
2720,1
2721,1
2722,3
2723,1
2724,5
2725,1
2726,1
2727,5
2728,4
2729,1
2730,1
2731,5
2732,1
2733,1
2734,5
2735,1
2736,5
2737,1
2738,1
2739,1
2740,1
2741,2
2742,5
2743,5
2744,5
2745,1
2746,1
2747,5
2748,5
2749,1
2750,1
2751,5
2752,1
2753,3
2754,5
2755,1
2756,1
2757,1
2758,1
2759,5
2760,5
2761,1
2762,5
2763,1
2764,1
2765,1
2766,1
2767,5
2768,1
2769,5
2770,1
2771,1
2772,2
2773,5
2774,5
2775,5
2776,1
2777,5
2778,5
2779,1
2780,1
2781,1
2782,5
2783,1
2784,1
2785,5
2786,5
2787,1
2788,1
2789,1
2790,4
2791,1
2792,1
2793,1
2794,1
2795,1
2796,1
2797,1
2798,1
2799,1
2800,1
2801,1
2802,1
2803,3
2804,1
2805,1
2806,1
2807,5
2808,1
2809,5
2810,1
2811,1
2812,1
2813,1
2814,5
2815,5
2816,1
2817,5
2818,5
2819,5
2820,1
2821,5
2822,3
2823,1
2824,1
2825,1
2826,5
2827,1
2828,1
2829,1
2830,1
2831,5
2832,1
2833,5
2834,1
2835,1
2836,5
2837,1
2838,1
2839,5
2840,5
2841,1
2842,1
2843,5
2844,1
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,5
2852,4
2853,1
2854,5
2855,1
2856,3
2857,5
2858,1
2859,1
2860,5
2861,1
2862,4
2863,1
2864,1
2865,2
2866,5
2867,5
2868,1
2869,1
2870,1
2871,5
2872,5
2873,1
2874,1
2875,1
2876,1
2877,1
2878,1
2879,1
2880,5
2881,5
2882,1
2883,1
2884,1
2885,1
2886,3
2887,1
2888,3
2889,2
2890,1
2891,1
2892,1
2893,3
2894,1
2895,1
2896,5
2897,1
2898,5
2899,5
2900,1
2901,1
2902,1
2903,1
2904,5
2905,5
2906,1
2907,5
2908,1
2909,5
2910,1
2911,1
2912,1
2913,5
2914,1
2915,5
2916,5
2917,1
2918,1
2919,1
2920,1
2921,1
2922,1
2923,1
2924,5
2925,1
2926,1
2927,1
2928,5
2929,1
2930,1
2931,1
2932,5
2933,5
2934,5
2935,1
2936,1
2937,1
2938,1
2939,3
2940,1
2941,1
2942,1
2943,5
2944,1
2945,5
2946,1
2947,1
2948,1
2949,5
2950,1
2951,1
2952,1
2953,2
2954,1
2955,1
2956,5
2957,5
2958,1
2959,5
2960,1
2961,5
2962,1
2963,5
2964,1
2965,1
2966,5
2967,5
2968,5
2969,1
2970,1
2971,3
2972,1
2973,1
2974,1
2975,1
2976,5
2977,1
2978,4
2979,1
2980,3
2981,5
2982,1
2983,5
2984,5
2985,5
2986,5
2987,5
2988,1
2989,1
2990,5
2991,5
2992,5
2993,1
2994,1
2995,5
2996,3
